Date,SP500_Return,VIX,Yield_Spread,Regime_GMM,Regime_label
2017-03-10,-0.2442615817061381,-0.9817499813739096,0.2332367687383608,1,Calm
2017-03-17,0.0370850609764799,-1.0283611021147072,0.1789779101474347,1,Calm
2017-03-24,-0.661585972277373,-0.8222909087298039,0.146422594992879,1,Calm
2017-03-31,0.2680583632967513,-0.8946608036437146,0.1355708232746937,1,Calm
2017-04-07,-0.187158281296125,-0.8333304000866326,0.092163736401953,1,Calm
2017-04-14,-0.5308074565957457,-0.454308487387312,0.0270531060928416,1,Calm
2017-04-21,0.2877882078043581,-0.6174473514908732,0.0379048778110269,1,Calm
2017-04-28,0.5593359685358802,-1.0847850780663608,0.0053495626564711,1,Calm
2017-05-05,0.1996558314725921,-1.1154502798449015,0.0379048778110269,1,Calm
2017-05-12,-0.206165998704993,-1.136302626412587,0.0379048778110269,1,Calm
2017-05-19,-0.2202139600720233,-0.9351388606331118,-0.0597610676526402,1,Calm
2017-05-26,0.5264882442054603,-1.208672404348036,-0.0597610676526402,1,Calm
2017-06-02,0.3348476980794723,-1.216032104245409,-0.1465752413981219,1,Calm
2017-06-09,-0.1852551162896075,-1.0995043608826454,-0.1574270131163072,1,Calm
2017-06-16,-0.0378234514763609,-1.1387557817260705,-0.1791305565526776,1,Calm
2017-06-23,0.0261639309010481,-1.1829136301749232,-0.2116858717072332,1,Calm
2017-06-30,-0.3146259590975628,-1.040627112639047,-0.0814646110890105,1,Calm
2017-07-07,-0.0310887054761665,-1.0394005934715358,-0.0163539807798992,1,Calm
2017-07-14,0.5160307453848997,-1.2454706698779776,-0.0272057524980845,1,Calm
2017-07-21,0.1612815578334877,-1.263869861132179,-0.1357234696799367,1,Calm
2017-07-28,-0.0686448105209687,-1.1497952730828989,-0.0489092959344549,1,Calm
2017-08-04,0.017772130712701,-1.181687111007412,-0.103168154525381,1,Calm
2017-08-11,-0.6585275770808042,-0.5095058271929935,-0.1248716979617515,1,Calm
2017-08-18,-0.3293119030530179,-0.6628318360856985,-0.1574270131163072,1,Calm
2017-08-25,0.2360387214472826,-1.0283611021147072,-0.2008340999890481,1,Calm
2017-09-01,0.5019836860045149,-1.1694209835046112,-0.2116858717072332,1,Calm
2017-09-08,-0.3145654113740901,-0.9253260054222556,-0.2333894151436037,1,Calm
2017-09-15,0.5855716431244518,-1.1645145558991834,-0.2116858717072332,1,Calm
2017-09-22,-0.0283801824234832,-1.235657814667121,-0.2225376434254184,1,Calm
2017-09-29,0.2210529803365786,-1.2454706698779776,-0.1574270131163072,1,Calm
2017-10-06,0.4278058049486754,-1.22829823174821,-0.1899823282708629,1,Calm
2017-10-13,0.0009626848314589,-1.233204659353638,-0.2550929585799742,1,Calm
2017-10-20,0.2942060248940457,-1.1890466939263236,-0.2333894151436037,1,Calm
2017-10-27,0.032722466335617,-1.2098990404940084,-0.1899823282708629,1,Calm
2017-11-03,0.0470538930901448,-1.2908551544728029,-0.3202035888890856,1,Calm
2017-11-10,-0.149920104825898,-1.0271344659687347,-0.2985000454527151,1,Calm
2017-11-17,-0.1165769907003813,-1.009961910860506,-0.4178695343527526,1,Calm
2017-11-24,0.3150000140236562,-1.2258449594562653,-0.4504248495073082,1,Calm
2017-12-01,0.5664410823662006,-1.009961910860506,-0.4504248495073082,1,Calm
2017-12-08,0.0837197567852139,-1.2368844508130934,-0.4612766212254935,1,Calm
2017-12-15,0.31617840711182,-1.2565101612348064,-0.53723902325279,1,Calm
2017-12-22,0.0549385915274702,-1.1976330299696691,-0.4721283929436787,1,Calm
2017-12-29,-0.2115263573248086,-1.057799667747276,-0.53723902325279,1,Calm
2018-01-05,1.000683506523273,-1.2810422992619466,-0.53723902325279,1,Calm
2018-01-12,0.5833336517933765,-1.1657411920451557,-0.4829801646618639,1,Calm
2018-01-19,0.2943246485385951,-1.029587621282218,-0.4612766212254935,1,Calm
2018-01-26,0.8494404428344603,-1.0528932401418474,-0.5155354798164196,1,Calm
2018-02-02,-1.6870641337491898,-0.2887164679702674,-0.341907132325456,0,Stressful
2018-02-09,-2.2532619149413864,1.1525480156211596,-0.2442411868617889,0,Stressful
2018-02-16,1.680396447304485,-0.0249957794661993,-0.3744624474800117,0,Stressful
2018-02-23,0.1663587966345397,-0.3892982923707742,-0.4070177626345673,1,Calm
2018-03-02,-0.9138007320317648,-0.0090497435254813,-0.4287213060709378,0,Stressful
2018-03-09,1.3782240885224517,-0.6162207153449009,-0.4070177626345673,0,Stressful
2018-03-16,-0.577434958688297,-0.4739341978090244,-0.5046837080982344,1,Calm
2018-03-23,-2.598447877708008,0.6385994022617968,-0.5046837080982344,0,Stressful
2018-03-30,0.7709545210081883,0.037561260236855,-0.580646110125531,0,Stressful
2018-04-06,-0.6353098093312459,0.2240057432000457,-0.5480907949709752,0,Stressful
2018-04-13,0.7536829674908301,-0.2764503404674664,-0.6023496535619015,0,Stressful
2018-04-20,0.1536409011381589,-0.3414606524624656,-0.5480907949709752,1,Calm
2018-04-27,-0.0648475862025736,-0.5217719546957944,-0.580646110125531,1,Calm
2018-05-04,-0.1619412567774112,-0.6002747963826441,-0.6132014252800867,1,Calm
2018-05-11,0.9253244144281214,-0.860315810405718,-0.6240531969982719,1,Calm
2018-05-18,-0.2855355762578206,-0.7658669327781503,-0.53723902325279,1,Calm
2018-05-25,0.0659662097491923,-0.7903990708052906,-0.6023496535619015,1,Calm
2018-06-01,0.1402035248149598,-0.760960505172722,-0.6349049687164572,1,Calm
2018-06-08,0.6049754207528528,-0.9179663055248828,-0.6240531969982719,1,Calm
2018-06-15,-0.0519121514290298,-0.9424985605304846,-0.6783120555891979,1,Calm
2018-06-22,-0.4316393944979863,-0.7229356034968082,-0.7217191424619388,1,Calm
2018-06-29,-0.6130630484921701,-0.4383625684250553,-0.732570914180124,1,Calm
